developer,cluster,archetype,dbscan_outlier,commits,prs_opened,prs_merged,reviews_given,issues_opened,issues_closed,active_hours
chaochn47,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
charleskorn,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
chen0427ok,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
chenhao-db,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
chinanuj,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
chirodip98,0,Silent Stalker,False,0.0,0.36363636363636365,0.0,1.2727272727272727,0.0,0.0,1.4545454545454546
choo121600,0,Silent Stalker,False,0.42857142857142855,0.14285714285714285,0.0,0.8571428571428571,0.07142857142857142,0.2857142857142857,1.5
chzhj,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
cloud-fan,0,Silent Stalker,False,1.76,0.4,0.0,3.36,0.0,0.0,3.24
codesome,0,Silent Stalker,False,0.8333333333333334,0.3333333333333333,0.0,1.0,0.0,0.0,1.3333333333333333
coillteoir,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
connorwang,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
copybara-service[bot],1,Contributor,True,70.21621621621621,18.83783783783784,0.0,0.02702702702702703,0.0,0.10810810810810811,17.43243243243243
corerole,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
cpanato,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
cruseakshay,0,Silent Stalker,False,0.0,1.0,0.0,1.5,0.0,0.0,2.5
dabla,0,Silent Stalker,False,0.25,0.3333333333333333,0.0,2.0833333333333335,0.0,0.08333333333333333,1.9166666666666667
danwinship,0,Silent Stalker,False,0.0,0.0,0.0,0.75,0.0,0.25,1.0
darshansreenivas,0,Silent Stalker,False,0.0,0.6,0.0,1.4,0.0,0.0,1.2
darthsuburbus,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
dashpole,0,Silent Stalker,False,0.0,0.0,0.0,1.5,0.0,0.0,1.5
daviskgit,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
deepak4babu,0,Silent Stalker,False,0.0,0.0,0.0,0.0,2.0,0.0,1.0
dejii,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
dependabot[bot],0,Silent Stalker,False,1.5151515151515151,0.7878787878787878,0.0,0.0,0.0,0.0,1.3333333333333333
devin-petersohn,0,Silent Stalker,False,0.0,0.4,0.0,0.6,0.0,0.0,1.0
dheerajturaga,0,Silent Stalker,False,0.4375,0.6875,0.0,0.9375,0.0,0.0,1.6875
dhruvildave235,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
dichlorodiphen,0,Silent Stalker,False,0.0,0.0,0.0,2.0,0.0,0.0,1.0
dillitz,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
dilshadshaik3031,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
dims,0,Silent Stalker,False,0.0,1.0,0.0,0.6428571428571429,0.07142857142857142,0.35714285714285715,1.7857142857142858
dlipovetsky,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
dom4ha,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
dominikhei,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
dondaum,0,Silent Stalker,False,0.0,0.0,0.0,2.0,0.0,0.0,2.0
dongjoon-hyun,0,Silent Stalker,False,0.9473684210526315,0.3684210526315789,0.0,1.5263157894736843,0.0,0.0,2.1052631578947367
dosmanak,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
dramis,0,Silent Stalker,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
drjackild,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
droach282,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
dstandish,0,Silent Stalker,False,0.2727272727272727,0.09090909090909091,0.0,1.0,0.09090909090909091,0.09090909090909091,1.1818181818181819
dtenedor,0,Silent Stalker,False,0.46153846153846156,0.07692307692307693,0.0,1.6153846153846154,0.0,0.0,1.4615384615384615
